Laikas,,Platuma,Ilguma,Aukštis,Greitis,Kryptis,SOC,Įtampa,Srovė,Vanduo%,TDS,Dujos%,Temp,Drėgmė,Slėgis,CO2
2026-06-19T05:03:38.043Z,,55.187767,25.789585,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,21.0,68.0,999.6,1448
2026-06-19T05:04:39.687Z,,55.187691,25.789629,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,44.0,69.0,1000.7,1448
2026-06-19T05:05:48.041Z,,55.187637,25.789671,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,20.7,68.9,1000.7,1448
2026-06-19T05:06:48.551Z,,55.187637,25.789671,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,20.7,69.0,1000.7,1448
2026-06-19T05:10:48.806Z,,55.187637,25.789671,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,20.6,69.3,1000.7,1448
2026-06-19T05:11:58.042Z,,55.187637,25.789671,70.9,0.0,66.3,77,13.24,-1.50,74,0,94,20.6,69.2,1000.8,1448
2026-06-19T07:04:19.434Z,,55.187637,25.789671,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,20.7,68.8,1000.7,980
2026-06-19T07:05:19.558Z,,55.187637,25.789671,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,20.7,68.8,1000.7,980
2026-06-19T07:24:37.903Z,,55.187637,25.789671,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,20.7,68.8,1000.7,980
2026-06-19T07:24:51.552Z,,55.187637,25.789671,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,20.7,68.8,1000.7,980
2026-06-19T09:56:41.177Z,,55.187637,25.789671,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,20.7,68.8,1000.7,980
2026-06-19T09:57:29.551Z,,0.000000,0.000000,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,44.0,59.4,1001.9,980
2026-06-19T09:59:03.768Z,,0.000000,0.000000,70.9,0.0,66.3,70,13.18,-1.10,72,0,94,44.0,60.2,1001.9,980
2026-06-19T13:19:41.317Z,,55.187637,25.789671,70.9,0.0,66.3,67,13.25,2.10,81,0,94,21.8,58.7,1002.4,358
2026-06-19T13:20:51.315Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,21.8,56.2,1002.3,358
2026-06-19T13:21:51.553Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,21.7,56.0,1002.3,358
2026-06-19T15:31:15.257Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,45.0,58.4,1002.5,358
2026-06-19T15:32:25.255Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,22.4,58.4,1002.5,358
2026-06-19T15:33:25.551Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,22.4,58.3,1002.5,358
2026-06-19T17:26:44.308Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,46.0,57.1,1002.6,358
2026-06-19T17:27:11.269Z,,0.000000,0.000000,70.9,0.0,66.3,67,13.25,2.10,81,0,94,46.0,57.1,1002.5,358